publish_date,China,Italy,Canada,US
1962-09-01,0,0,0,1
1971,0,0,0,1
1971-06-05,0,0,0,1
1971-07-05,0,0,0,1
1972,0,0,0,2
1972-02-05,0,0,0,1
1972-05-31,0,0,0,1
1972-08-05,0,0,0,1
1973,0,0,0,2
1973-07-31,0,0,0,1
1974,0,0,1,1
1974-03-05,0,0,0,1
1974-09-05,0,0,0,1
1975,0,0,0,3
1976,0,0,0,3
1976-07-05,0,0,0,1
1976-07-31,0,0,1,0
1976-09-01,0,0,0,1
1977,0,0,0,1
1977-06-30,0,0,0,1
1977-08-05,0,0,1,0
1978,0,1,0,3
1978-10-31,0,0,0,1
1979,0,0,0,4
1979-12-31,0,0,0,1
1980,0,0,0,5
1980-10-01,0,0,1,0
1981,0,0,0,8
1981-06-30,0,0,0,1
1981-12-31,0,0,1,0
1982,0,0,1,4
1982-04-30,0,0,0,2
1982-10-29,0,0,0,1
1982-12-31,0,0,0,1
1983,0,0,1,5
1983-04-30,0,0,0,1
1983-08-31,0,0,0,1
1983-09-10,0,0,0,1
1983-12-31,0,0,1,2
1984,0,0,0,8
1984-01-05,0,0,0,1
1985,0,0,2,1
1985-04-30,0,0,0,1
1985-06-08,0,0,0,1
1985-06-28,0,0,0,1
1986,0,1,2,8
1986-02-28,0,0,0,2
1986-04-05,0,0,0,1
1986-05-31,0,0,0,1
1986-09-05,0,0,1,0
1986-09-30,1,0,0,0
1986-12-27,0,0,0,1
1987,1,0,2,6
1987-02-28,0,0,0,1
1987-04-30,0,0,0,1
1987-05-01,0,0,0,1
1987-12-31,0,0,1,1
1988,0,0,2,4
1988-04-30,0,0,0,1
1988-08-01,0,0,0,1
1988-09-30,0,0,0,1
1989,0,0,3,3
1989-01-31,0,0,0,1
1989-06-30,0,0,0,1
1989-07-31,0,0,0,1
1989-09-22,0,0,0,1
1989-11-30,0,0,0,1
1990,0,0,2,9
1990-08-27,0,0,0,1
1990-10-31,0,0,1,0
1991,1,0,3,10
1991-04-01,0,0,0,1
1991-06-30,0,0,0,1
1991-07-31,0,0,1,0
1991-12-31,0,0,1,0
1992,1,0,4,7
1992-02-01,0,0,1,0
1992-02-29,0,0,0,1
1992-05-31,0,0,0,1
1992-07-31,0,0,0,1
1992-08-31,0,0,0,1
1992-11-30,0,0,0,2
1992-12-02,0,0,0,1
1992-12-31,0,0,0,1
1993,0,0,4,7
1993-02-28,0,0,0,1
1993-05-01,0,0,1,1
1993-05-31,0,0,0,1
1993-10-31,0,0,0,1
1993-12-31,0,0,0,1
1994,1,0,2,7
1994-01-31,0,0,0,2
1994-04-30,0,0,0,1
1994-05-31,0,0,0,1
1994-06-06,0,0,0,1
1994-08-15,0,0,0,1
1994-09-01,0,0,0,1
1994-11-30,0,0,0,1
1994-12-31,0,0,1,3
1995,0,0,0,10
1995-03-31,0,0,0,1
1995-04-30,0,0,0,1
1995-09-30,0,0,0,2
1995-11-30,0,0,0,1
1996,0,0,1,11
1996-01-31,0,0,0,1
1996-07-15,0,0,0,1
1996-07-17,0,0,0,1
1996-08-31,0,0,0,1
1996-09-01,0,0,0,1
1996-09-05,0,0,0,1
1996-12-01,0,0,0,1
1996-12-02,0,0,0,1
1997,0,1,4,13
1997-01-05,0,0,0,2
1997-01-31,0,0,0,2
1997-03-17,0,0,0,1
1997-03-31,0,0,0,1
1997-04-06,0,0,0,1
1997-04-15,0,0,0,1
1997-04-30,0,0,0,1
1997-06-01,0,0,0,1
1997-07-01,0,0,0,1
1997-07-07,0,0,0,1
1997-08-08,0,0,0,1
1997-08-31,0,0,0,1
1997-09-05,0,0,0,1
1998,0,0,3,11
1998-01-05,0,0,0,2
1998-02-13,0,0,0,1
1998-02-28,0,0,0,1
1998-04-01,0,0,0,1
1998-09-05,0,0,0,1
1998-10-01,0,0,0,1
1998-11-15,0,0,0,1
1999,1,0,2,15
1999-02-05,0,0,0,1
1999-02-28,0,0,0,2
1999-03-08,0,0,0,1
1999-03-19,0,0,0,1
1999-04-30,0,0,0,1
1999-06-16,0,0,0,1
1999-06-30,0,0,0,1
1999-07-16,0,0,0,1
1999-08-31,0,0,0,1
1999-09-05,0,0,0,1
1999-12-01,0,0,0,2
1999-12-05,0,0,0,2
1999-12-15,0,0,0,1
2000,0,0,2,32
2000-02-01,0,0,0,2
2000-02-25,0,0,1,0
2000-04-30,0,0,0,1
2000-05-01,0,0,1,1
2000-08-01,0,0,0,1
2000-09-18,0,0,0,1
2000-09-28,0,0,0,1
2000-09-30,0,0,0,1
2000-10-26,0,0,0,1
2000-11-23,0,0,0,1
2000-12-31,0,0,0,1
2001,1,0,4,25
2001-02-05,0,0,0,1
2001-03-21,0,0,1,0
2001-03-31,0,0,1,0
2001-04-12,0,0,1,1
2001-04-27,0,0,0,1
2001-04-30,0,1,0,0
2001-05-25,0,0,0,1
2001-06-05,0,0,0,1
2001-06-07,0,0,0,1
2001-07-01,0,0,1,0
2001-07-31,0,1,0,0
2001-08-05,0,0,0,1
2001-12-31,0,0,0,1
