publish_date,counts_0512,counts_0519
1955-10-31,1,1
1957-08-01,1,1
1963-05-01,1,1
1965-01-01,1,1
1967-03-31,1,1
1969-11-08,1,1
1970,4,27
1970-03-07,1,1
1970-03-31,2,2
1970-04-30,2,1
1970-10-17,1,1
1971-05-01,1,1
1971-07-31,2,2
1971-11-30,1,1
1972-03-31,1,1
1972-05-31,1,1
1972-12-31,2,2
1973,3,30
1973-01-31,1,1
1973-04-30,2,2
1973-07-31,1,1
1973-08-04,1,1
1973-08-31,1,1
1973-11-30,1,1
1974,3,20
1974-04-08,1,1
1974-12-31,14,2
1975,6,37
1975-01-04,1,1
1975-02-01,1,1
1975-03-15,1,1
1975-05-10,1,1
1975-05-24,1,1
1975-07-05,1,1
1975-07-12,3,1
1975-08-09,1,1
1975-09-06,1,1
1975-09-13,1,1
1975-10-25,4,4
1975-11-15,1,1
1975-12-27,1,1
1976,10,40
1976-02-07,1,1
1976-03-01,1,1
1976-03-06,1,1
1976-04-30,1,1
1976-05-15,1,1
1976-05-31,2,1
1976-06-30,4,2
1976-07-03,1,1
1976-07-31,1,1
1976-09-30,1,1
1976-11-30,1,1
1976-12-31,7,1
1977,5,57
1977-01-29,1,1
1977-02-28,3,2
1977-03-26,2,2
1977-04-01,1,1
1977-04-30,5,4
1977-05-15,1,1
1977-06-30,2,2
1977-10-31,2,1
1977-12-03,1,1
1977-12-31,11,2
1978,10,76
1978-01-07,1,1
1978-01-21,1,1
1978-02-28,1,1
1978-03-31,1,1
1978-04-30,2,2
1978-05-15,1,1
1978-05-27,1,1
1978-06-03,1,1
1978-07-15,2,2
1978-08-26,1,1
1978-09-30,1,1
1978-10-15,2,2
1978-10-31,2,1
1978-11-30,1,1
1978-12-31,9,4
1979,12,77
1979-02-01,1,1
1979-02-28,1,1
1979-03-31,4,1
1979-04-30,8,5
1979-06-30,3,1
1979-08-31,2,1
1979-10-30,1,1
1979-12-31,16,3
1980,21,89
1980-01-30,1,1
1980-03-01,1,1
1980-03-31,2,1
1980-04-30,2,2
1980-06-30,2,2
1980-07-12,4,2
1980-07-31,1,1
1980-09-30,4,4
1980-11-01,2,2
1980-11-30,4,1
1980-12-06,2,2
1980-12-27,2,2
1980-12-31,13,4
1981,24,135
1981-01-30,2,2
1981-01-31,1,1
1981-02-28,2,2
1981-03-01,1,1
1981-03-31,3,1
1981-04-01,1,1
1981-04-15,1,1
1981-04-30,1,1
1981-05-31,1,1
1981-06-30,6,4
1981-07-30,2,2
1981-09-30,4,2
1981-10-01,1,2
1981-10-15,1,1
1981-10-24,2,2
1981-10-31,5,5
1981-11-30,4,2
1981-12-25,1,1
1981-12-31,20,6
1982,14,109
1982-01-15,1,1
1982-01-30,1,1
1982-01-31,3,1
1982-03-31,4,2
1982-04-07,1,1
1982-04-29,2,2
1982-04-30,5,3
1982-05-08,2,2
1982-06-30,4,4
1982-07-01,1,1
1982-07-31,3,3
1982-09-25,1,1
1982-09-30,8,3
1982-10-29,1,1
1982-10-31,5,1
1982-11-30,4,2
1982-12-13,1,1
1982-12-31,17,3
1983,10,110
1983-01-31,4,3
1983-02-11,1,1
1983-02-28,3,1
1983-03-31,7,5
1983-04-30,4,2
1983-05-31,2,2
1983-06-04,1,1
1983-06-30,6,1
1983-07-01,1,1
1983-07-30,2,2
1983-07-31,2,2
1983-08-11,1,1
1983-08-31,4,3
1983-09-01,1,1
1983-09-30,6,1
1983-10-15,1,1
1983-10-30,2,2
1983-11-30,6,1
1983-12-31,30,8
1984,16,149
1984-01-01,1,1
1984-01-30,2,2
1984-01-31,2,1
1984-02-29,4,3
1984-03-31,4,2
1984-04-15,2,2
1984-04-30,4,4
1984-05-12,2,1
1984-06-15,1,1
1984-06-30,12,2
1984-07-01,1,1
1984-07-07,1,1
1984-07-31,2,1
1984-08-31,7,5
1984-09-01,1,1
1984-09-04,1,1
1984-09-15,1,1
1984-09-30,6,5
1984-10-12,6,1
1984-10-31,9,4
1984-11-30,3,2
1984-12-15,1,1
1984-12-31,37,8
1985,19,133
1985-01-31,6,4
1985-02-11,1,1
1985-02-28,7,4
1985-03-02,1,1
1985-03-20,1,1
1985-03-31,4,3
1985-04-01,1,1
1985-04-15,1,1
1985-04-30,12,3
1985-05-31,7,5
1985-06-08,1,1
1985-06-19,1,1
1985-06-28,4,4
1985-06-30,3,1
1985-07-20,1,1
1985-07-31,6,4
1985-08-31,3,2
1985-09-30,3,2
1985-10-01,1,1
1985-10-24,1,1
1985-10-31,2,1
1985-11-30,10,4
1985-12-01,1,1
1985-12-31,42,15
1986,13,149
1986-01-01,1,2
