publish_date,counts
1870,1
1874,1
1885,1
1890,1
1894,1
1899,2
1901,1
1902,2
1907,1
1918,1
1922,1
1925,1
1931,2
1940,1
1941,1
1942,2
1947,1
1948,1
1950,4
1951,7
1952,3
1953,1
1954,1
1955,4
1955-10-31,1
1956,1
1957,4
1957-08-01,1
1957-10-01,1
1958,1
1959,1
1960,1
1961-09-26,1
1962,3
1962-09-01,1
1963,2
1963-05-01,1
1964,6
1964-01-01,1
1964-02-01,1
1965,3
1965-01-01,1
1967,3
1967-03-31,1
1968,7
1968-07-01,1
1969,11
1969-03-26,1
1969-11-08,1
1969-11-26,1
1970,27
1970-01-01,1
1970-03-07,1
1970-03-31,2
1970-04-30,1
1970-05-26,1
1970-06-26,1
1970-10-17,1
1970-10-26,1
1971,14
1971-01-01,1
1971-05-01,1
1971-06-26,1
1971-07-26,1
1971-07-31,2
1971-11-30,1
1972,24
1972-02-26,1
1972-03-31,1
1972-05-31,1
1972-06-01,1
1972-07-26,2
1972-08-26,4
1972-10-01,1
1972-12-31,2
1973,30
1973-01-31,1
1973-04-30,2
1973-07-31,1
1973-08-04,1
1973-08-26,1
1973-08-31,1
1973-09-01,1
1973-10-01,1
1973-11-26,1
1973-11-30,1
1974,20
1974-02-26,1
1974-03-01,1
1974-03-26,1
1974-04-01,1
1974-04-08,1
1974-09-26,1
1974-10-15,1
1974-10-26,1
1974-11-01,1
1974-11-26,1
1974-12-26,2
1974-12-31,2
1975,37
1975-01-04,1
1975-02-01,1
1975-03-15,1
1975-03-26,1
1975-04-01,1
1975-05-10,1
1975-05-24,1
1975-07-05,1
1975-07-12,1
1975-08-09,1
1975-09-06,1
1975-09-13,1
1975-09-26,1
1975-10-25,4
1975-11-15,1
1975-12-27,1
1976,40
1976-02-07,1
1976-03-01,1
1976-03-06,1
1976-04-30,1
1976-05-15,1
1976-05-31,1
1976-06-26,2
1976-06-30,2
1976-07-03,1
1976-07-26,1
1976-07-31,1
1976-09-01,1
1976-09-30,1
1976-11-30,1
1976-12-26,1
1976-12-31,1
1977,57
1977-01-26,1
1977-01-29,1
1977-02-26,1
1977-02-28,2
1977-03-26,2
1977-04-01,1
1977-04-30,4
1977-05-15,1
1977-05-26,1
1977-06-30,2
1977-08-26,1
1977-10-26,1
1977-10-31,1
1977-11-26,2
1977-12-03,1
1977-12-31,2
1978,76
1978-01-07,1
1978-01-21,1
1978-01-26,1
1978-02-28,1
1978-03-31,1
1978-04-26,1
1978-04-30,2
1978-05-15,1
1978-05-27,1
1978-06-03,1
1978-07-15,2
1978-08-01,1
1978-08-26,1
1978-09-30,1
1978-10-15,2
1978-10-31,1
1978-11-30,1
1978-12-01,1
1978-12-26,1
1978-12-31,4
1979,77
1979-02-01,1
1979-02-28,1
1979-03-01,3
1979-03-31,1
1979-04-30,5
1979-05-01,1
1979-06-30,1
1979-08-31,1
1979-10-30,1
1979-11-26,1
1979-12-31,3
1980,89
1980-01-26,1
1980-01-30,1
1980-03-01,1
1980-03-26,1
1980-03-31,1
1980-04-30,2
1980-06-30,2
1980-07-01,2
1980-07-12,2
1980-07-31,1
1980-09-30,4
1980-10-01,1
1980-11-01,2
1980-11-26,1
1980-11-30,1
1980-12-06,2
1980-12-27,2
1980-12-31,4
1981,135
1981-01-01,1
1981-01-26,1
1981-01-30,2
1981-01-31,1
1981-02-28,2
1981-03-01,1
1981-03-26,1
1981-03-31,1
1981-04-01,1
1981-04-15,1
1981-04-30,1
1981-05-31,1
1981-06-30,4
1981-07-30,2
1981-08-26,1
1981-09-26,1
1981-09-30,2
1981-10-01,2
1981-10-15,1
1981-10-24,2
1981-10-31,5
1981-11-30,2
1981-12-25,1
1981-12-31,6
1982,109
1982-01-15,1
1982-01-26,2
1982-01-30,1
1982-01-31,1
1982-02-26,1
1982-03-26,1
1982-03-31,2
1982-04-07,1
1982-04-29,2
1982-04-30,3
1982-05-08,2
1982-06-30,4
1982-07-01,1
1982-07-31,3
1982-09-25,1
1982-09-30,3
1982-10-29,1
1982-10-31,1
1982-11-30,2
1982-12-13,1
1982-12-31,3
1983,110
1983-01-31,3
1983-02-11,1
1983-02-28,1
1983-03-31,5
1983-04-30,2
1983-05-31,2
1983-06-04,1
1983-06-30,1
1983-07-01,1
1983-07-30,2
1983-07-31,2
1983-08-11,1
1983-08-26,1
1983-08-31,3
1983-09-01,1
1983-09-10,1
1983-09-30,1
1983-10-15,1
1983-10-30,2
1983-11-30,1
1983-12-31,8
1984,149
1984-01-01,1
1984-01-26,1
1984-01-30,2
1984-01-31,1
1984-02-29,3
1984-03-26,1
1984-03-31,2
1984-04-15,2
1984-04-30,4
1984-05-12,1
1984-06-15,1
1984-06-26,1
1984-06-30,2
1984-07-01,1
1984-07-07,1
1984-07-31,1
1984-08-01,1
1984-08-31,5
1984-09-01,1
1984-09-04,1
1984-09-15,1
1984-09-30,5
1984-10-12,1
1984-10-26,3
1984-10-31,4
1984-11-26,1
1984-11-30,2
1984-12-01,4
1984-12-15,1
1984-12-31,8
1985,133
1985-01-26,3
1985-01-31,4
1985-02-11,1
1985-02-28,4
1985-03-02,1
1985-03-20,1
1985-03-31,3
1985-04-01,1
1985-04-15,1
1985-04-26,2
1985-04-30,3
1985-05-26,1
1985-05-31,5
1985-06-08,1
1985-06-19,1
1985-06-28,4
1985-06-30,1
1985-07-20,1
1985-07-31,4
1985-08-31,2
1985-09-30,2
1985-10-01,1
1985-10-24,1
1985-10-26,1
1985-10-31,1
1985-11-30,4
1985-12-01,1
1985-12-26,1
1985-12-31,15
1986,149
1986-01-01,2
1986-01-10,1
1986-01-26,1
1986-01-31,1
1986-02-15,1
1986-02-28,5
1986-03-31,3
1986-04-11,1
1986-04-19,1
1986-04-26,1
1986-04-30,1
1986-05-01,1
1986-05-26,1
1986-05-31,4
1986-06-01,2
1986-06-30,3
1986-07-01,1
