,docid,DOI,title,abstract,num_paragraph
0,ug7v899j,10.1186/1471-2334-1-6,2304,33246,18
1,02tnwd4m,10.1186/rr14,638,11011,11
2,ejv2xln0,10.1186/rr19,3008,105408,64
3,2b73a28n,10.1186/rr44,1440,16720,40
4,9785vg6d,10.1186/rr61,2160,25020,30
5,zjufx4fo,10.1093/emboj/20.24.7220,3232,37376,32
6,5yhe786e,10.1186/cc987,1752,18360,24
7,8zchiykl,10.1186/cc1013,2420,12474,22
8,8qnrcgnk,10.1186/1465-9921-4-7,3132,73278,54
9,jg13scgo,10.1197/jamia.m1345,4180,70235,55
10,5tkvsudh,10.1093/emboj/19.8.1907,3382,31806,38
11,6lvn10f4,10.1093/emboj/19.17.4701,3382,44346,38
12,tvxpckxo,10.1251/bpo66,1062,13770,18
13,mcuixluu,10.1093/emboj/19.15.3932,2296,31752,28
14,t35n7bk9,10.1186/1742-4690-1-11,2109,27740,19
15,eiqypt0m,10.1186/cc2850,3120,22776,24
16,sgmk96vr,10.1186/1471-2458-4-34,6608,106200,59
17,di0fcy0j,10.1186/1465-9921-5-16,3600,64280,40
18,4k8f7ou1,10.1186/1471-2164-6-1,2337,73390,41
19,wnnsmx60,10.1186/1743-8462-1-7,1820,12440,20
20,gdsfkw1b,10.1186/1475-2859-4-2,2736,34536,24
21,yba7mdtb,10.1093/nar/gni004,4743,78132,51
22,bbvxu8op,10.1093/nar/gni034,3724,53424,28
23,e62cfqt7,10.1155/s1110724304307084,1992,25128,24
24,4cvy9u28,10.1186/1471-230x-5-8,1998,43713,27
25,zowp10ts,10.1371/journal.pbio.0030089,3328,47072,32
26,5dk231qs,10.1093/nar/gki329,1464,24672,24
27,snqdma0s,10.1093/nar/gni053,1426,26979,23
28,1pq6dkl5,10.1093/nar/gni054,4250,46478,34
29,754nln40,10.1093/nar/gki521,3042,29978,26
30,p34ezktf,10.1186/1743-8462-2-7,3082,83214,67
31,l3z27806,10.1186/1476-072x-4-10,1452,23474,22
32,yz2wbpuu,10.1186/1744-8603-1-1,216,16182,9
33,kvhoa2se,10.1093/emboj/16.5.1122,4400,52080,40
34,cgl34ykt,10.1093/nar/gni106,3861,50466,39
35,ajlctjeb,10.1186/1743-422x-2-48,3840,74850,30
36,cl9gpt9w,10.1093/nar/gki789,3220,34300,28
37,t40ybhgb,10.1093/nar/gki896,3872,59136,44
38,zwbc7nnn,10.1186/1745-7580-1-2,4173,60138,39
39,1r65yam5,10.1186/1471-2199-6-21,1548,26388,18
40,qva0jt86,10.1186/1465-9921-6-150,1652,30268,28
41,vw8xjo9t,10.1371/journal.pmed.0030043,2496,2184,24
42,bnnl700a,10.1186/1471-2458-6-2,2484,35742,23
43,m71xkuo9,10.1186/1472-6750-6-3,3655,63468,43
44,s64v656n,10.1186/1477-7517-3-4,3780,62964,36
45,oluq7v0h,10.1038/nm1240,4268,52096,44
46,tw6wusxe,10.1186/1471-2458-6-99,2739,46167,33
47,58czem0j,10.1186/1472-6939-7-5,2166,85652,38
48,x7wg7e9s,10.1093/ecam/nel003,2620,26220,20
49,utglk4af,10.1186/1465-9921-7-74,3358,106582,46
50,9r62ffew,10.1186/1471-2164-7-131,3078,68661,27
51,d3cko4j2,10.1371/journal.pcbi.0020081,2604,35840,28
52,hwlvk68z,10.1186/1471-2458-6-126,4200,59710,35
53,w5fxen70,10.1186/1471-2458-6-129,7416,137952,72
54,mq6bterc,10.1186/1476-0711-5-7,2014,30172,38
55,yxhk1qm3,10.1186/1471-2458-6-180,4257,64156,43
56,j3p1u80n,10.1371/journal.pcbi.0020116,2068,73524,44
57,5eqdrd52,10.1155/jbb/2006/71659,2856,28084,28
58,p5jtwb3l,10.1016/j.ymeth.2005.05.008,2829,49856,41
59,c5hrdrtu,10.1186/1477-7827-4-39,4544,82880,32
60,pk7pnmlo,10.1186/1742-4682-3-32,8560,237112,107
61,nhb4o6ty,10.1373/clinchem.2004.034330,1701,40986,27
62,xgwbl8em,10.1093/nar/gkl531,1435,41300,35
63,69gftii4,10.1093/nar/gkl574,3772,45540,46
64,vefs1h6o,10.1093/nar/gkl398,882,18228,21
65,1ypgij14,10.1186/1471-2105-7-451,2109,70115,37
66,1axxmq84,10.1097/01.jnen.0000205142.08716.7e,1504,52000,32
67,cxzlmfst,10.1093/nar/gkl565,2150,31200,25
68,br2p09pg,10.1093/nar/gkl580,3200,39936,32
69,kt9pmfdr,10.1093/nar/gkl679,1900,39520,38
70,5fl0rk90,10.1186/1472-6939-7-12,3978,81141,51
71,kuf3ssdb,10.1186/cc4981,2412,71064,36
72,rr2wwvue,10.1371/journal.pone.0000041,1232,30184,22
73,1n0rg5vd,10.1371/journal.pone.0000012,2146,62086,37
74,nzh87aux,10.1371/journal.pone.0000143,2079,66330,33
75,1y5nej0m,10.1371/journal.ppat.0030009,1764,24675,21
76,fvfjz7al,10.1186/1471-2458-6-313,1080,33192,18
77,lntn11a9,10.1080/09629350410001688477,4264,41820,41
78,nzk8m912,10.1186/cc5078,4305,34650,35
79,ps3mnpzq,10.1186/gb-2006-7-11-r110,2856,27897,51
80,m56agj4z,10.1093/nar/gkl1062,5134,53890,34
81,x2zq0lnt,10.1371/journal.pone.0000349,3103,41122,29
82,hf3nytb2,10.1186/1471-2334-7-17,10672,288328,184
83,byp2eqhd,10.1111/j.1365-2583.2006.00682.x,2010,23280,30
84,s4y6uxsb,10.1371/journal.pone.0000381,770,21280,14
85,9zmyojbu,10.1111/j.1462-5822.2006.00789.x,5453,76711,41
86,4y8ghcpq,10.1186/1742-6405-4-9,3944,47940,34
87,63bos83o,10.1371/journal.pone.0000489,1872,44280,24
88,hqc7u9w3,10.1371/journal.pone.0000502,3724,46795,49
89,87zt7lew,10.1186/1743-422x-4-48,1548,23166,18
90,wgxt36jv,10.1186/1471-2458-7-92,5400,93360,40
91,qbldmef1,10.1186/1471-2105-8-194,5665,76230,55
92,i9arl3oi,10.1038/sj.emboj.7601746,3256,42365,37
93,z5klydpi,10.1371/journal.pone.0000679,920,32280,20
